seed,model,N,requested_N,gate_selected_N,conservative_high_N_gate,selected_energy,selected_score,selected_real_utility,success_rate,exact_expected_utility,mc_mean_utility,mc_ci_low,mc_ci_high,exact_law_abs_error,low_energy_tail_real_utility,low_energy_tail_invalid_rate,low_energy_tail_contact_failure_rate,low_energy_tail_support_distance,tail_rank_correlation,energy_utility_rank_correlation,invalid_action_rate,contact_failure_rate,support_distance,jerk_smoothness_penalty,contact_feasibility_penalty,oracle_minus_energy_gap,high_n_regret,marginal_utility_per_added_candidate,compute_latency_proxy,energy_evaluations,repair_recovery_ratio,repair_recovery_ratio_reported,recovery_ge_95,utility_not_degraded,tail_rank_improved,support_distance_reduced,deployment_gate,task,learned_model,is_repair_model,source_repair_model
1,random,64,64,64,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.40170588876538194,0.38814707667567105,0.4152647008550928,0.010007828145930542,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,1.2623818118793138,1.2623818118793138,0.0,64.0,64,0.5692679227040514,0.5692679227040514,0,1,0,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
1,random,128,128,128,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.3862391972314524,0.3762739778367114,0.3962044166261934,0.005458863387999002,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,1.28024070681576,1.28024070681576,0.0,128.0,128,0.5697015330704144,0.5697015330704144,0,1,0,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
1,random,256,256,256,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.3904401583524803,0.3837866372512421,0.3970936794537185,0.0012579022669710893,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,1.290516850325049,1.290516850325049,0.0,256.0,256,0.5687974618694059,0.5687974618694059,0,1,0,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
1,random,512,512,512,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.3944655408512029,0.3894757607099887,0.3994553209924171,0.0027674802317514957,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,1.2960793714799173,1.2960793714799173,0.0,512.0,512,0.566844657779134,0.566844657779134,0,1,0,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
1,oracle,1,1,1,0,-0.3916980606194516,0.3916980606194516,0.3916980606194516,0.42187499999999956,0.3916980606194516,0.412204131744467,0.3028936050224164,0.5215146584665177,0.0205060711250154,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,1.0,1.0,0.21940104166666705,0.18499771453743208,0.44134669641935553,0.17474587458051122,0.18499771453743208,-1.6653345369377348e-16,-1.6653345369377348e-16,2.220446049250313e-16,1.0,1,1.0,1.0,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle,2,2,2,0,-0.9498093870216874,0.9498093870216874,0.9498093870216874,0.6640947129991313,0.9498093870216874,0.9227073834295388,0.8485301337770477,0.99688463308203,0.027102003592148538,1.203145668064731,0.013020833333333334,0.0027062563967729177,0.18000164863404855,1.0,1.0,0.055330488416884246,0.03911127253280969,0.26665174651174184,0.16134069788781835,0.03911127253280969,-1.1102230246251565e-16,-1.1102230246251565e-16,0.5581113264022357,2.0,2,1.0,1.0,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle,4,4,4,0,-1.2885056689525207,1.2885056689525207,1.2885056689525207,0.8837597299184656,1.2885056689525207,1.258572990534036,1.2183620517698883,1.2987839292981835,0.029932678418484793,1.442186804346233,0.0078125,0.0016522401886368977,0.11841206172929238,1.0,1.0,0.011993974749966607,0.0038160649888354017,0.15976951142548312,0.1318290191678576,0.0038160649888354017,0.0,0.0,0.16934814096541667,4.0,4,1.0,1.0,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle,8,8,8,0,-1.4678285175497439,1.4678285175497439,1.4678285175497439,0.982579904811957,1.4678285175497439,1.458435578612127,1.4363008489509712,1.4805703082732828,0.009392938937616835,1.5571002663899112,0.0,0.0009451209219294622,0.08338162931372205,1.0,1.0,0.006063946820554939,0.001460566458852165,0.10827618535408556,0.10835356582811373,0.001460566458852165,0.0,0.0,0.044830712149305785,8.0,8,1.0,1.0,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle,16,16,16,0,-1.5666222163799195,1.5666222163799195,1.5666222163799195,0.9978669870721375,1.5666222163799195,1.567165316026191,1.5552581741152476,1.5790724579371342,0.0005430996462714166,1.6187363476586272,0.0,0.00031866306513713295,0.060384091089254736,1.0,1.0,0.00200325488515954,0.0008499764229187928,0.07787744006011095,0.08242099971194213,0.0008499764229187928,-2.220446049250313e-16,-2.220446049250313e-16,0.012349212353771954,16.0,16,1.0,1.0,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle,32,32,32,0,-1.622510598861535,1.622510598861535,1.622510598861535,0.9997752112859701,1.622510598861535,1.6236541669631006,1.6164562568858618,1.6308520770403394,0.001143568101565684,1.6413205622075377,0.0,0.00022887687955232267,0.05127247148219699,1.0,1.0,0.0002247718384517837,0.0004356578769647492,0.05738345481645044,0.057466928857991526,0.0004356578769647492,0.0,0.0,0.0034930239051009643,32.0,32,1.0,1.0,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
